texto,emocion
Creo que quiero pasar mi vida contigo... pero tengo miedo de decirtelo.,enamoramiento
Siento que quiero pasar mi vida contigo entiendes?,enamoramiento
Creo que eres lo mejor que me ha pasado entiendes? a pesar de todo lo que ha pasado.,enamoramiento
A veces tu sonrisa ilumina mi dia.,enamoramiento
A veces contigo todo es mejor.,enamoramiento
Realmente eres lo mejor que me ha pasado? pero tengo miedo de decirtelo.,enamoramiento
Realmente eres lo mejor que me ha pasado entiendes?,enamoramiento
A veces tu sonrisa ilumina mi dia. aunque se que deberia pensarlo mas.,enamoramiento
Ultimamente te extrano cuando no estas!,enamoramiento
Ultimamente eres mi persona favorita entiendes? pero tengo miedo de decirtelo.,enamoramiento
Siento que te amo con todo mi corazon. y no puedo evitarlo.,enamoramiento
Ultimamente me haces muy feliz... pero tengo miedo de decirtelo.,enamoramiento
Ultimamente me haces muy feliz. a pesar de todo lo que ha pasado.,enamoramiento
Ultimamente quiero pasar mi vida contigo entiendes?,enamoramiento
Realmente te amo con todo mi corazon? y no puedo evitarlo.,enamoramiento
Ultimamente te amo con todo mi corazon! a pesar de todo lo que ha pasado.,enamoramiento
Creo que me haces muy feliz entiendes? pero tengo miedo de decirtelo.,enamoramiento
Realmente te amo con todo mi corazon... aunque se que deberia pensarlo mas.,enamoramiento
Realmente eres mi persona favorita. aunque se que deberia pensarlo mas.,enamoramiento
A veces contigo todo es mejor...,enamoramiento
Ultimamente te amo con todo mi corazon! y no puedo evitarlo.,enamoramiento
Siento que te extrano cuando no estas? aunque se que deberia pensarlo mas.,enamoramiento
A veces quiero pasar mi vida contigo! y no puedo evitarlo.,enamoramiento
Ultimamente me haces muy feliz? aunque se que deberia pensarlo mas.,enamoramiento
A veces tu sonrisa ilumina mi dia...,enamoramiento
Creo que te amo con todo mi corazon!,enamoramiento
Ultimamente mi amor por ti crece cada dia. aunque se que deberia pensarlo mas.,enamoramiento
Realmente quiero pasar mi vida contigo!,enamoramiento
Realmente tu sonrisa ilumina mi dia.,enamoramiento
Creo que eres mi persona favorita entiendes?,enamoramiento
Realmente te amo con todo mi corazon.,enamoramiento
Realmente tu sonrisa ilumina mi dia... a pesar de todo lo que ha pasado.,enamoramiento
Creo que te extrano cuando no estas entiendes? y no puedo evitarlo.,enamoramiento
Siento que contigo todo es mejor!,enamoramiento
Realmente contigo todo es mejor entiendes? pero tengo miedo de decirtelo.,enamoramiento
Ultimamente quiero pasar mi vida contigo?,enamoramiento
Siento que te extrano cuando no estas. y no puedo evitarlo.,enamoramiento
Siento que me duele decir esto pero. a pesar de todo lo que ha pasado.,ruptura
Ultimamente ya no siento lo mismo entiendes?,ruptura
Creo que ya no siento lo mismo! a pesar de todo lo que ha pasado.,ruptura
Siento que ya no siento lo mismo...,ruptura
Creo que no somos felices juntos entiendes? a pesar de todo lo que ha pasado.,ruptura
Creo que necesitamos separarnos? pero tengo miedo de decirtelo.,ruptura
A veces necesitamos separarnos...,ruptura
Ultimamente admitamos que esto se acabo... aunque se que deberia pensarlo mas.,ruptura
A veces me duele decir esto pero!,ruptura
A veces necesito tiempo para mi? y no puedo evitarlo.,ruptura
Creo que necesitamos separarnos entiendes?,ruptura
Creo que ya no siento lo mismo?,ruptura
Realmente necesito tiempo para mi?,ruptura
Creo que no podemos seguir asi... y no puedo evitarlo.,ruptura
A veces necesitamos separarnos? pero tengo miedo de decirtelo.,ruptura
Ultimamente admitamos que esto se acabo? pero tengo miedo de decirtelo.,ruptura
Siento que ya no siento lo mismo? y espero que tu tambien lo sientas.,ruptura
Ultimamente necesitamos separarnos! a pesar de todo lo que ha pasado.,ruptura
Creo que no podemos seguir asi!,ruptura
Ultimamente esto ya no funciona!,ruptura
Siento que es mejor que cada uno siga su camino...,ruptura
Creo que no somos felices juntos! y no puedo evitarlo.,ruptura
Creo que ya no siento lo mismo. y espero que tu tambien lo sientas.,ruptura
A veces necesito tiempo para mi?,ruptura
Realmente admitamos que esto se acabo entiendes?,ruptura
Ultimamente necesito tiempo para mi. y espero que tu tambien lo sientas.,ruptura
Siento que no podemos seguir asi entiendes? y espero que tu tambien lo sientas.,ruptura
Ultimamente no somos felices juntos?,ruptura
Ultimamente ya no siento lo mismo? y espero que tu tambien lo sientas.,ruptura
Siento que he decidido terminar nuestra relacion entiendes?,ruptura
Siento que ya no siento lo mismo entiendes? y no puedo evitarlo.,ruptura
A veces ya no siento lo mismo?,ruptura
Creo que me duele decir esto pero.,ruptura
Ultimamente es mejor que cada uno siga su camino?,ruptura
Ultimamente ya no siento lo mismo...,ruptura
Realmente no podemos seguir asi.,ruptura
Realmente esto ya no funciona... aunque se que deberia pensarlo mas.,ruptura
Siento que necesito tiempo para mi!,ruptura
Realmente necesitamos separarnos entiendes? y espero que tu tambien lo sientas.,ruptura
Ultimamente me duele decir esto pero! y no puedo evitarlo.,ruptura
Ultimamente he decidido terminar nuestra relacion... a pesar de todo lo que ha pasado.,ruptura
Creo que admitamos que esto se acabo? aunque se que deberia pensarlo mas.,ruptura
Siento que esto ya no funciona!,ruptura
Siento que me duele decir esto pero... pero tengo miedo de decirtelo.,ruptura
Ultimamente necesito tiempo para mi entiendes?,ruptura
Realmente es mejor que cada uno siga su camino entiendes? y no puedo evitarlo.,ruptura
Creo que ya no siento lo mismo...,ruptura
Creo que es mejor que cada uno siga su camino!,ruptura
Ultimamente no podemos seguir asi entiendes? pero tengo miedo de decirtelo.,ruptura
Creo que necesitamos separarnos? pero tengo miedo de decirtelo.,ruptura
Ultimamente me duele decir esto pero! y no puedo evitarlo.,ruptura
Creo que me duele decir esto pero! pero tengo miedo de decirtelo.,ruptura
Creo que admitamos que esto se acabo.,ruptura
A veces es mejor que cada uno siga su camino?,ruptura
Ultimamente me duele decir esto pero. a pesar de todo lo que ha pasado.,ruptura
Realmente no podemos seguir asi entiendes? y no puedo evitarlo.,ruptura
Creo que no somos felices juntos? aunque se que deberia pensarlo mas.,ruptura
Creo que necesitamos separarnos? y no puedo evitarlo.,ruptura
A veces me duele decir esto pero? a pesar de todo lo que ha pasado.,ruptura
Ultimamente admitamos que esto se acabo? a pesar de todo lo que ha pasado.,ruptura
Siento que ya no siento lo mismo.,ruptura
Ultimamente necesitamos separarnos.,ruptura
A veces esto ya no funciona.,ruptura
A veces no podemos seguir asi!,ruptura
Ultimamente necesitamos separarnos entiendes? pero tengo miedo de decirtelo.,ruptura
Ultimamente admitamos que esto se acabo... a pesar de todo lo que ha pasado.,ruptura
Ultimamente no somos felices juntos!,ruptura
A veces no podemos seguir asi.,ruptura
Siento que necesito tiempo para mi. aunque se que deberia pensarlo mas.,ruptura
Realmente necesitamos separarnos... y espero que tu tambien lo sientas.,ruptura
Creo que necesitamos separarnos.,ruptura
Ultimamente necesito tiempo para mi?,ruptura
Creo que esto ya no funciona?,ruptura
A veces necesito tiempo para mi! a pesar de todo lo que ha pasado.,ruptura
A veces esto ya no funciona... y espero que tu tambien lo sientas.,ruptura
Siento que admitamos que esto se acabo entiendes?,ruptura
Creo que no podemos seguir asi? a pesar de todo lo que ha pasado.,ruptura
Creo que admitamos que esto se acabo. y no puedo evitarlo.,ruptura
Realmente admitamos que esto se acabo! a pesar de todo lo que ha pasado.,ruptura
A veces esto ya no funciona!,ruptura
A veces esto ya no funciona...,ruptura
Creo que admitamos que esto se acabo.,ruptura
Ultimamente me duele decir esto pero?,ruptura
Ultimamente no somos felices juntos entiendes? aunque se que deberia pensarlo mas.,ruptura
Realmente ya no siento lo mismo entiendes?,ruptura
Ultimamente he decidido terminar nuestra relacion!,ruptura
Ultimamente he decidido terminar nuestra relacion entiendes? pero tengo miedo de decirtelo.,ruptura
Creo que me duele decir esto pero...,ruptura
Creo que me duele decir esto pero. y espero que tu tambien lo sientas.,ruptura
Realmente necesitamos separarnos entiendes?,ruptura
Ultimamente ya no siento lo mismo entiendes?,ruptura
A veces esto ya no funciona entiendes? y no puedo evitarlo.,ruptura
Siento que me duele decir esto pero... aunque se que deberia pensarlo mas.,ruptura
Siento que necesitamos separarnos? aunque se que deberia pensarlo mas.,ruptura
Creo que admitamos que esto se acabo? y espero que tu tambien lo sientas.,ruptura
Creo que es mejor que cada uno siga su camino.,ruptura
A veces esto ya no funciona.,ruptura
Ultimamente necesitamos separarnos? pero tengo miedo de decirtelo.,ruptura
Creo que necesito tiempo para mi...,ruptura
Realmente es mejor que cada uno siga su camino? y no puedo evitarlo.,ruptura
Creo que estoy en una encrucijada emocional?,confusion
Ultimamente estoy en una encrucijada emocional entiendes? y espero que tu tambien lo sientas.,confusion
A veces no se que sentir. a pesar de todo lo que ha pasado.,confusion
Creo que no se si es amor o costumbre...,confusion
A veces mis emociones son un caos!,confusion
Siento que no se que sentir?,confusion
Creo que estoy confundido acerca de nosotros... aunque se que deberia pensarlo mas.,confusion
Ultimamente no se si es amor o costumbre entiendes? y espero que tu tambien lo sientas.,confusion
Creo que no se si es amor o costumbre!,confusion
Creo que a veces pienso una cosa y a veces otra! pero tengo miedo de decirtelo.,confusion
Realmente a veces pienso una cosa y a veces otra. y espero que tu tambien lo sientas.,confusion
Siento que tengo sentimientos encontrados. a pesar de todo lo que ha pasado.,confusion
Siento que no entiendo lo que pasa entre nosotros entiendes? y espero que tu tambien lo sientas.,confusion
Creo que a veces pienso una cosa y a veces otra entiendes?,confusion
Siento que tengo sentimientos encontrados entiendes?,confusion
A veces tengo sentimientos encontrados! aunque se que deberia pensarlo mas.,confusion
Realmente parte de mi quiere pero otra parte no. y espero que tu tambien lo sientas.,confusion
A veces parte de mi quiere pero otra parte no? aunque se que deberia pensarlo mas.,confusion
Siento que estoy en una encrucijada emocional. y espero que tu tambien lo sientas.,confusion
Siento que estoy confundido acerca de nosotros?,confusion
Creo que a veces pienso una cosa y a veces otra!,confusion
Ultimamente no entiendo lo que pasa entre nosotros entiendes? y no puedo evitarlo.,confusion
Siento que tengo sentimientos encontrados? y espero que tu tambien lo sientas.,confusion
Realmente estoy en una encrucijada emocional entiendes?,confusion
A veces no entiendo lo que pasa entre nosotros...,confusion
Realmente estoy confundido acerca de nosotros?,confusion
Realmente no entiendo lo que pasa entre nosotros...,confusion
Ultimamente no se que sentir.,confusion
A veces a veces pienso una cosa y a veces otra entiendes?,confusion
A veces a veces pienso una cosa y a veces otra!,confusion
Siento que parte de mi quiere pero otra parte no!,confusion
A veces mis emociones son un caos!,confusion
Creo que no entiendo lo que pasa entre nosotros. y espero que tu tambien lo sientas.,confusion
Siento que no entiendo lo que pasa entre nosotros!,confusion
Siento que tengo sentimientos encontrados. y espero que tu tambien lo sientas.,confusion
Creo que no entiendo lo que pasa entre nosotros.,confusion
Creo que parte de mi quiere pero otra parte no...,confusion
Ultimamente mis emociones son un caos entiendes?,confusion
Realmente no entiendo lo que pasa entre nosotros?,confusion
Realmente mis emociones son un caos entiendes? a pesar de todo lo que ha pasado.,confusion
Siento que no estoy seguro de mis sentimientos.,confusion
Siento que no estoy seguro de mis sentimientos. aunque se que deberia pensarlo mas.,confusion
Realmente estoy confundido acerca de nosotros. y no puedo evitarlo.,confusion
Ultimamente mis emociones son un caos!,confusion
Ultimamente no entiendo lo que pasa entre nosotros?,confusion
Siento que a veces pienso una cosa y a veces otra. a pesar de todo lo que ha pasado.,confusion
Ultimamente a veces pienso una cosa y a veces otra? a pesar de todo lo que ha pasado.,confusion
Realmente tengo sentimientos encontrados? aunque se que deberia pensarlo mas.,confusion
Creo que no estoy seguro de mis sentimientos entiendes?,confusion
Realmente parte de mi quiere pero otra parte no. y espero que tu tambien lo sientas.,confusion
Ultimamente tengo sentimientos encontrados entiendes?,confusion
Realmente tengo sentimientos encontrados!,confusion
Siento que mis emociones son un caos. aunque se que deberia pensarlo mas.,confusion
Creo que estoy confundido acerca de nosotros. y no puedo evitarlo.,confusion
Realmente a veces pienso una cosa y a veces otra...,confusion
Realmente no se si es amor o costumbre...,confusion
A veces estoy en una encrucijada emocional?,confusion
Creo que estoy en una encrucijada emocional entiendes? aunque se que deberia pensarlo mas.,confusion
Realmente parte de mi quiere pero otra parte no? a pesar de todo lo que ha pasado.,confusion
Ultimamente no se que sentir!,confusion
Ultimamente no estoy seguro de mis sentimientos... a pesar de todo lo que ha pasado.,confusion
Ultimamente estoy en una encrucijada emocional...,confusion
Realmente no estoy seguro de mis sentimientos?,confusion
Siento que no estoy seguro de mis sentimientos...,confusion
A veces tengo sentimientos encontrados! aunque se que deberia pensarlo mas.,confusion
Siento que estoy confundido acerca de nosotros! aunque se que deberia pensarlo mas.,confusion
A veces tengo sentimientos encontrados entiendes?,confusion
A veces a veces pienso una cosa y a veces otra entiendes?,confusion
Realmente a veces pienso una cosa y a veces otra...,confusion
A veces tengo sentimientos encontrados entiendes?,confusion
Ultimamente a veces pienso una cosa y a veces otra...,confusion
Siento que parte de mi quiere pero otra parte no... y espero que tu tambien lo sientas.,confusion
Ultimamente no se si es amor o costumbre entiendes? y espero que tu tambien lo sientas.,confusion
A veces estoy en una encrucijada emocional entiendes?,confusion
Ultimamente estoy en una encrucijada emocional? y no puedo evitarlo.,confusion
Creo que no se que sentir?,confusion
Creo que estoy confundido acerca de nosotros?,confusion
Ultimamente estoy confundido acerca de nosotros entiendes?,confusion
Ultimamente a veces pienso una cosa y a veces otra entiendes? pero tengo miedo de decirtelo.,confusion
Creo que tengo sentimientos encontrados entiendes? y espero que tu tambien lo sientas.,confusion
Siento que estoy en una encrucijada emocional?,confusion
Siento que estoy confundido acerca de nosotros!,confusion
Creo que no estoy seguro de mis sentimientos. y espero que tu tambien lo sientas.,confusion
Realmente parte de mi quiere pero otra parte no.,confusion
Ultimamente no entiendo lo que pasa entre nosotros! y espero que tu tambien lo sientas.,confusion
Realmente estoy confundido acerca de nosotros...,confusion
Ultimamente estoy confundido acerca de nosotros! pero tengo miedo de decirtelo.,confusion
Siento que estoy en una encrucijada emocional. y espero que tu tambien lo sientas.,confusion
Creo que tengo sentimientos encontrados... pero tengo miedo de decirtelo.,confusion
Ultimamente no entiendo lo que pasa entre nosotros... aunque se que deberia pensarlo mas.,confusion
Creo que a veces pienso una cosa y a veces otra! a pesar de todo lo que ha pasado.,confusion
Ultimamente estoy en una encrucijada emocional... pero tengo miedo de decirtelo.,confusion
Creo que no estoy seguro de mis sentimientos entiendes? pero tengo miedo de decirtelo.,confusion
Siento que mis emociones son un caos... a pesar de todo lo que ha pasado.,confusion
A veces no se que sentir. a pesar de todo lo que ha pasado.,confusion
Ultimamente tengo sentimientos encontrados...,confusion
Siento que a veces pienso una cosa y a veces otra?,confusion
Realmente no se que sentir entiendes?,confusion
Creo que parte de mi quiere pero otra parte no.,confusion
Ultimamente no entiendo lo que pasa entre nosotros entiendes? y no puedo evitarlo.,confusion
